2,2,1,2,2,4,5,1,2,1,1,5
3,2,2,2,2,2,1,1,5,1,3,4
4,2,2,2,2,5,5,3,2,1,1,4
5,2,1,1,2,5,2,1,5,1,5,3
6,1,1,2,2,5,1,5,2,3,1,5
7,2,1,2,2,4,3,2,2,1,1,4
8,1,1,1,2,3,3,3,2,1,2,3
9,1,1,1,2,4,2,5,3,5,1,4
10,1,1,2,2,3,3,3,1,1,1,5
11,1,2,2,2,4,2,3,3,2,1,3
12,1,2,1,2,5,4,1,3,1,2,3
13,1,1,1,2,5,3,4,3,5,1,5
14,1,1,2,2,5,1,3,5,4,4,5
15,1,1,1,2,3,4,3,3,2,2,4
16,1,2,1,2,4,1,1,4,1,1,5
17,2,1,1,2,5,1,1,5,2,3,4
18,2,1,2,2,4,3,3,2,5,2,5
19,2,2,1,2,5,3,5,5,5,4,4
20,2,1,2,2,5,2,2,5,2,3,5
21,2,2,1,2,5,4,3,4,3,2,3
22,2,2,2,2,3,5,3,3,2,2,4
23,2,1,1,2,3,3,2,3,1,1,3
24,1,1,2,2,3,3,1,2,2,2,4
25,1,1,1,2,4,3,1,3,1,2,4
26,2,2,1,2,4,2,4,4,2,5,4
27,1,1,1,2,2,4,1,2,1,1,3
28,2,2,2,2,4,4,5,5,5,5,5
29,1,2,1,2,4,1,1,5,1,2,4
30,1,1,1,2,5,5,2,4,4,2,5
